name	latitude	longitude
Abartagh	52.01916	-7.82345
Abberanville	53.25817	-8.58564
Abbernadoorny	54.68795	-8.15776
Abbert	53.41798	-8.69303
Abbert Demesne	53.42776	-8.68485
Abbeville	53.08619	-8.06461
Abbey	51.67659	-9.47670
Abbey	53.44355	-8.74777
Abbey	53.11038	-8.38972
Abbey	53.43701	-8.74945
Abbey	53.10337	-8.39013
Abbey	52.31887	-8.45913
Abbeycartron	53.73488	-7.79867
Abbeycartron	53.84687	-8.18743
Abbeyderg	53.63528	-7.79798
Abbeydorney	52.34661	-9.68791
Abbeydown	52.69197	-6.62453
Abbey East	53.13463	-9.04522
Abbeyfarm	52.40412	-8.57747
Abbeyfeale	52.38618	-9.29707
Abbeyfeale East	52.37266	-9.29278
Abbeyfeale West	52.37814	-9.30517
Abbeyfield	53.33235	-8.40244
Abbeygormacan	53.21428	-8.35342
Abbeygrove	52.62573	-7.14942
Abbeyhalfquarter	54.11395	-9.14431
Abbey Island	54.50860	-8.20015
Abbey Island	51.75577	-10.15046
Abbeyland	53.99098	-7.36126
Abbeyland	52.90114	-6.84169
Abbeyland	53.28970	-6.68202
Abbeyland	53.64768	-6.42150
Abbeyland	53.65958	-6.69814
Abbeyland	53.62858	-7.39792
Abbey Land	53.69189	-7.62327
Abbeyland And Charlestown	53.60439	-7.49649
Abbeyland Great	53.21488	-8.10689
Abbeyland Little	53.23472	-8.05735
Abbeyland North	53.62202	-8.74377
Abbeylands	54.51402	-8.20686
Abbeylands	52.14838	-9.74048
Abbeylands	52.26727	-7.09736
Abbeylands	52.52099	-8.93098
Abbeylands	54.20056	-9.17776
Abbeylands	52.79363	-6.15838
Abbey-Lands	51.71497	-8.53070
Abbeyland South	53.61716	-8.74042
Abbeyland South	53.65531	-6.69937
Abbeylara	53.77143	-7.45624
Abbeylara	53.76528	-7.44887
Abbeyleix	52.91528	-7.34790
Abbeyleix Demesne	52.89514	-7.37782
Abbeymahon	51.63306	-8.74760
Abbeypark	53.28341	-8.22023
Abbeyquarter	53.75680	-8.76685
Abbeyquarter North	54.26981	-8.47078
Abbeyquarter South	54.26674	-8.46833
Abbeyshrule	53.57140	-7.65802
Abbeyshrule	53.58251	-7.65756
Abbeyside	52.09318	-7.61686
Abbeystrowry	51.55522	-9.30019
Abbeytown	53.50251	-9.06582
Abbeytown	54.10833	-9.32127
Abbeytown	54.21322	-8.53859
Abbeyville	53.42894	-6.18436
Abbeyville	53.09531	-8.38783
Abbeyville	54.05723	-8.49539
Abbey West	53.12497	-9.06233
Abbotstown	53.38835	-6.36670
Abelstown	53.71422	-6.59566
Abington	52.63245	-8.41864
Ablintown	52.27636	-6.52846
Acantha	53.31229	-7.49188
Acarreagh	54.00803	-6.44357
Acaun	52.84620	-6.66464
Achillbeg Island	53.86747	-9.95999
Achill Sound	53.93026	-9.92664
Achonry	54.08012	-8.66069
Achonry	54.08043	-8.66391
Ackeys Island	54.99073	-8.44591
Aclamon	52.32020	-6.90126
Aclare	52.68402	-6.74876
Aclare	54.03646	-8.89665
Aclint	53.91963	-6.63461
Acraboy	52.50735	-8.21639
Acragar	52.76533	-7.39526
Acragar	53.10118	-7.31122
Acraroe	52.60274	-7.34145
Acre Beg	53.17363	-8.53557
Acre East	53.43580	-8.28271
Acre More	53.16856	-8.53776
Acrenakirka	52.44296	-7.81223
Acres	53.94628	-7.36182
Acres	53.02082	-8.70786
Acres	53.11135	-9.12364
Acres	52.74679	-9.45708
Acres	51.72974	-9.07382
Acres	53.56728	-8.80777
Acres	53.54023	-8.54829
Acres	53.07334	-8.48643
Acres	52.13349	-10.09289
Acres	52.56566	-9.61370
Acres	52.14326	-9.59697
Acres	53.84292	-7.87584
Acres	52.30185	-9.22261
Acres	53.76769	-7.65412
Acres	53.79164	-9.07108
Acres	54.29098	-7.13795
Acres	54.11597	-6.90781
Acres	53.89632	-8.29754
Acres	53.63031	-8.16396
Acres	52.09352	-7.56292
Acre West	53.42996	-8.29588
Adamstown	51.82242	-8.50725
Adamstown	53.33468	-6.45623
Adamstown	53.55401	-6.35337
Adamstown	52.43449	-8.48576
Adamstown	53.86277	-6.35322
Adamstown	53.53653	-6.74031
Adamstown	52.80927	-7.85334
Adamstown	52.23184	-7.23436
Adamstown	53.48567	-7.52382
Adamstown	52.40117	-6.72450
Adamstown	52.39357	-6.71856
Adamstown Lower	52.70660	-7.43524
Adamstown Upper	52.70363	-7.44960
Adamswood	52.53145	-8.86304
Adare	52.56158	-8.78504
Adare	52.56402	-8.79118
Addane	52.79124	-8.15999
Addanstown	53.58062	-6.86575
Addergoole	52.96888	-8.90796
Addergoole	53.54084	-9.91001
Addergoole	52.82466	-7.50227
Addergoole	53.82861	-8.91862
Addergoole Beg	53.63120	-8.80680
Addergoole More	53.60131	-8.72650
Addergoole North	53.39096	-8.26047
Addergoole South	53.38370	-8.24409
Addergoole West	53.38577	-8.27584
Addergown	52.44711	-9.70401
Adderville	55.23167	-7.44711
Adderwal	54.90600	-8.17325
Addinstown	53.61789	-7.00674
Addragool	53.31917	-9.15170
Addrigoole	51.99693	-7.71844
Addroon	52.94646	-8.95888
Aderavoher	54.28439	-8.95629
Adereen	53.92032	-8.06031
Aderg	53.73917	-8.74522
Aderrig	53.33886	-6.48611
Admiran	54.81163	-7.76762
Adoon	53.97362	-7.83727
Adragool	53.72775	-8.45885
Adramone Beg	52.16181	-7.50236
Adramone More	52.15798	-7.51343
Adraval	52.17922	-9.37953
Adrigole	51.69712	-9.72956
Adrigole	51.69420	-9.72281
Adrigool	51.59443	-9.21804
Adrivale	52.02228	-9.11531
Adruel	52.96014	-7.92515
Afaddy	52.31430	-7.25825
Affane	52.12262	-7.83551
Affane Hunter	52.13164	-7.83555
Affick	52.91401	-8.79469
Affoley	52.53214	-7.50792
Affollus	53.41159	-6.55480
Affouley	52.47160	-9.55855
Afoley	53.15334	-7.47801
Agall	53.26076	-7.59230
Aggard Beg	53.20445	-8.75375
Aggard More	53.21923	-8.75148
Agha	52.73348	-6.91518
Agha	51.61121	-8.72304
Agha	52.71049	-7.16065
Aghabane	54.02350	-7.55978
Aghabeg	52.66456	-6.88549
Aghabeg	51.66408	-9.77203
Aghabeg East	52.40798	-9.66784
Aghabeg Middle	52.40516	-9.68403
Aghabeg West	52.40952	-9.69209
Aghabehy	54.09109	-8.15671
Aghaboe	52.92851	-7.52052
Aghaboe	52.92036	-7.51191
Aghabog	54.14724	-7.09589
Aghaboneill	54.00308	-7.88020
Aghaboy	53.79982	-7.44576
Aghaboy	54.18980	-7.75384
Aghaboy	53.74607	-7.56160
Aghaboy	54.32879	-6.91999
Aghaboy	53.27061	-7.81430
Aghaboy North	54.28963	-7.03431
Aghaboys	54.03342	-6.37516
Aghaboy South	54.26394	-7.09126
Aghabrack	53.75546	-7.48583
Aghabrack	53.45194	-7.55247
Aghabrick	54.24118	-6.89726
Aghabullogue	51.94430	-8.80785
Aghaburren	52.28638	-8.71760
Aghacarra	54.03236	-8.27396
Aghacarrible	52.12867	-10.18078
Aghacashel	53.85309	-7.15521
Aghacashel	54.07323	-7.93632
Aghacashlaun	54.04284	-7.93090
Aghaclay	54.17533	-7.03791
Aghaclogha	54.30806	-7.01755
Aghacloghan	54.02313	-6.77252
Aghaclogher	53.70938	-8.07914
Aghacocara	53.42164	-7.92347
Aghaconny	53.91777	-7.37610
Aghacoora	52.37729	-9.65155
Aghacordrinan	53.82297	-7.62502
Aghacreevy	53.83013	-7.35185
Aghacross	52.25756	-8.40191
Aghacunna	51.87593	-9.09403
Aghacurreen	52.08712	-9.55619
Aghacurreen	53.85673	-8.56379
Aghada	51.83787	-8.21816
Aghada	51.83699	-8.20900
Aghadachor	55.14653	-7.84077
Aghadaghly	55.19876	-7.65842
Aghadangan	53.74756	-8.07354
Aghadark	54.05289	-7.81472
Aghadaugh	53.54695	-7.21996
Aghade	52.76877	-6.75098
Aghadegnan	53.74193	-7.80665
Aghaderrard East	54.42297	-8.23392
Aghaderrard West	54.42890	-8.23713
Aghaderry	54.40466	-6.98696
Aghaderry	53.84153	-8.57038
Aghadiffin	53.86649	-8.71955
Aghadoe	51.95102	-8.00105
Aghadonagh	53.69280	-7.59831
Aghadonagh	53.28750	-7.62324
